item,n,elasticidade,ic95_inf,ic95_sup,spearman,p_spearman
"ACICLOVIR, DOSAGEM: 200 MG",827,-0.06537120393815037,-0.07407276637800358,-0.056669641498297146,-0.5701575871581285,1.7912754196818878e-72
"ÁCIDO ACETILSALICÍLICO, DOSAGEM: 100 MG",829,-0.07017140149112404,-0.07853892771050588,-0.06180387527174219,-0.5557819974175269,2.232554351437086e-68
"ÁCIDO FÓLICO, DOSAGEM: 5 MG",799,-0.05548322339765406,-0.06447577526599102,-0.0464906715293171,-0.41600275356540384,8.773348408722696e-35
